source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id_count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,128713,1448,[],,xxxHolic,,2006,FALSE,"[4154443, 14413335]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,127952,3640,127952,,Buso Renkin,,2006,FALSE,[4164182],,,,"('No multiple ids for this link', 127952, 3640)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,126704,2200,126704,,Full Metal Panic! The Second Raid,,2005,FALSE,[4135571],,,,"('No multiple ids for this link', 126704, 2200)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,126176,1924,126176,,Aquarion,,2005,FALSE,[4153869],,,,"('No multiple ids for this link', 126176, 1924)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,122949,2276,122949,,Better Off Ted,,2009,FALSE,[2851870],,,,"('No multiple ids for this link', 122949, 2276)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,121632,3773,121632,,The Dating Guy,,2009,FALSE,[5492958],,,,"('No multiple ids for this link', 121632, 3773)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,117404,3673,117404,,Rurouni Kenshin,,1996,FALSE,[14412782],,,,"('No multiple ids for this link', 117404, 3673)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,115413,1861,115413,,Stargate SG-1,,1997,FALSE,[12277590],,,,"('No multiple ids for this link', 115413, 1861)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,114475,3507,114475,,Black Books,,2000,FALSE,[2879279],,,,"('No multiple ids for this link', 114475, 3507)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,114074,644,114074,,The Dick Van Dyke Show,,1961,FALSE,[4094655],,,,"('No multiple ids for this link', 114074, 644)",No multiple ids for this link,,,,,,,,,,,,,
