Hulu_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping series
6979,429121,3592715,3592715,,,,,,Pass,Pass
21709,21612328,3370120,3370120,,,,,,Pass,Pass
44136,5837494856,11500190,11500190,,,,,,Pass,Pass
19496,1097866694,3702366,3702366,,,,,,Pass,Pass
20220,9882409,2777059,2777059,,,,,,Pass,Pass
43144,5391527173,3932455,3932455,,,,,,Pass,Pass
43114,4625328013,3910391,3910391,,,,,,Pass,Pass
22882,18045939,3225516,3225516,,,,,,Pass,Pass
42807,4455645343,10892117,10892117,,,,,,Pass,Pass
105,2165623,2807480,2807480,,,,,,Pass,Pass
35077,3996871284,3849189,3849189,,,,,,Pass,Pass
1952,1693284,2818260,2818260,,,,,,Pass,Pass
17991,982843766,3482356,3482356,,,,,,Pass,Pass
9801,1673581,2767779,2767779,,,,,,Pass,Pass
35903,1613846338,9443044,9443044,,,,,,Pass,Pass
21479,1327041907,3572114,10061385,"[{'3572114': 'rovi_id:1980398797,Map_reason:not found in projectx'}, {'source_id': '21479,Map_reason:{""color"":0.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":1.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":1069.0,""run_time_missing"":0.0,""levenshtein_titles"":0.5,""cosine_titles"":0.657951695,""partial_titles"":1.0,""score"":3.357951695}'}]","[{'3572114': 'rovi_id:1327041907,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
42761,6318536744,7002183,7002183,,,,,,Pass,Pass
30681,3246213661,10234411,10234411,,,,,,Pass,Pass
42704,5675585513,11431928,11431928,,,,,,Pass,Pass
25323,4272569422,11037373,11037373,,,,,,Pass,Pass
43210,5791377224,11484965,11484965,,,,,,Pass,Pass
29165,3209082878,10175345,10175345,,,,,,Pass,Pass
29402,6899551219,12401307,12401307,,,,,,Pass,Pass
42445,2189760,5356775,14636226,"[{'source_id': '42445,Map_reason:new'}]","[{'5356775': 'rovi_id:2189760,Map_reason:not found in projectx'}]",,,False,Fail,Fail
42739,1672496,2787114,2787114,,,,,,Pass,Pass
16397,19737724,12268529,12268529,,,,,,Pass,Pass
3711,9898869,3577903,3577903,,,,,,Pass,Pass
5004,17094610,3080151,3080151,,,,,,Pass,Pass
35558,1700580783,3807259,3807259,,,,,,Pass,Pass
8108,17265692,6994501,6994501,,,,,,Pass,Pass
36283,1476389597,9371941,9371941,,,,,,Pass,Pass
36444,3357386422,10293196,10293196,,,,,,Pass,Pass
53,1772812,2848425,2848425,,,,,,Pass,Pass
43239,6609745251,11727330,11727330,,,,,,Pass,Pass
5632,17999699,3359713,3359713,,,,,,Pass,Pass
30579,1443670102,3748102,3748102,,,,,,Pass,Pass
27765,936226059,3460396,3460396,,,,,,Pass,Pass
2107,2136156,2803356,2803356,,,,,,Pass,Pass
34540,8468965,5512692,5512692,,,,,,Pass,Pass
9018,22242682,3273311,3273311,,,,,,Pass,Pass
5040,10201515,12259700,12259700,,,,,,Pass,Pass
38956,6786060814,11776667,11776667,,,,,,Pass,Pass
20145,525742851,8197353,8197353,,,,,,Pass,Pass
36126,5501901336,11378710,11378710,,,,,,Pass,Pass
8742,540054093,3463406,3463406,,,,,,Pass,Pass
39436,6015584108,3994111,3994111,,,,,,Pass,Pass
7218,19704743,3186400,3186400,,,,,,Pass,Pass
30932,4698165191,11030113,11030113,,,,,,Pass,Pass
3356,8240941,2999478,2999478,,,,,,Pass,Pass
35473,4844405202,3967343,3967343,,,,,,Pass,Pass
38484,5849850565,3983435,3983435,,,,,,Pass,Pass
33922,4101455323,3865800,3865800,,,,,,Pass,Pass
38,17537987,2757212,2757212,,,,,,Pass,Pass
42089,1772638,2783387,2783387,,,,,,Pass,Pass
41592,6731802411,11757379,11757379,,,,,,Pass,Pass
42555,4129841724,10579976,10579976,,,,,,Pass,Pass
43750,1539923378,9428545,9428545,,,,,,Pass,Pass
31145,4334413915,3912295,14627510,"[{'source_id': '31145,Map_reason:new'}]","[{'3912295': 'rovi_id:4334413915,Map_reason:not found in projectx'}]",,,False,Fail,Fail
41985,2001738,2807021,2807021,,,,,,Pass,Pass
1534,2174288,2854067,2854067,,,,,,Pass,Pass
30576,545323707,3668860,3668860,,,,,,Pass,Pass
177,1933657,3031984,3031984,,,,,,Pass,Pass
12896,334198639,3398365,3398365,,,,,,Pass,Pass
41931,5127978298,11206666,11206666,,,,,,Pass,Pass
